,QUERY,TITLE,VALID,TITLE2,TITLE3,COMPANY,LOCATION,SALARY,SALARY_MAX,SALARY_MIN
1,Teller,Customer Service Officer (CSO)/Teller (Sidoarjo),Y,,Teller,BPR Surasari Hutama,Sidoarjo,4125000,4250000,4000000
2,Teller,Teller Dwidaya Tour - Taman Anggrek,Y,,Teller,PT. Mutualplus Global Resources,Jakarta,4650000,4800000,4500000
7,Teller,CUSTOMER SERVICE OFFICER (CSO) - JAKARTA,,Customer Service,Customer Service,PT Altrak 1978,Jakarta,4400000,4500000,4300000
8,Teller,Customer Service / Teller BRI - Program Internship,Y,,Teller,PT. Mutualplus Global Resources,Jakarta,4350000,4500000,4200000
9,Teller,Staff Admin Online CSO,,Customer Service,Customer Service,agenbajumurah,Tangerang,3000000,4300000,1700000
11,Teller,[LOKER KLATEN] CSO/ADMIN,,Customer Service,Customer Service,Robota,Klaten,2250000,3000000,1500000
14,Teller,CUSTOMER SERVICE,,Customer Service,Customer Service,PT. SOS Indonesia,Bogor,3850000,4000000,3700000
15,Teller,FRONTLINER BRI (Cibinong),Y,,Teller,PT. Mutualplus Global Resources,Bogor,4500000,5000000,4000000
19,Teller,Contact Center ANTI Attrition - Jakarta,Y,,Teller,Mitracomm Ekasarana PT,Jakarta,4500000,5000000,4000000
20,Teller,"Account Officer, Sales Officer, Credit Analys, Marketing Mik...",,,0,PT. BPR KREDIT MANDIRI INDONESIA,Majalengka,2250000,2500000,2000000
35,Teller,CS / Teller Bank DKI,Y,,Teller,Famili Mitra Ekselen PT,Jakarta,4500000,5000000,4000000
36,Teller,LOWONGAN KERJA TELLER MONEY CHANGER,Y,,Teller,PT.DIRGAHAYU VALUTA PRIMA,Denpasar,2822969,2822969,2822969
37,Teller,CS / Teller Bank DKI,Y,,Teller,PT Famili Mitra Ekselen,Jakarta,4250000,4500000,4000000
38,Teller,Program Magang Bakti Bank Swasta (CS/Teller),Y,,Teller,PT Famili Mitra Ekselen,Jakarta,4400000,4900000,3900000
196,Customer Service,IT Support Officer (Semarang),Y,,Customer Service,PT Saba Indomedika,Semarang,3000000,3500000,2500000
199,Customer Service,[DIBUTUHKAN] Supervisor / Captain Restaurant - Penempatan Ko...,,,0,Daun Lada Restaurant,Surabaya,3625000,4500000,2750000
202,Customer Service,Customer Service Marketplace & Sosial Media,Y,,Customer Service,Ohanakids,Surabaya,3500000,3500000,3500000
204,Customer Service,CUSTOMER SERVICE,Y,,Customer Service,ROTARY BINTARO GROUP,Jakarta,2250000,2500000,2000000
205,Customer Service,Customer Service Officer,Y,,Customer Service,Maxim Order Service,,2950000,3000000,2900000
206,Customer Service,Magento Developer,,,0,MadeIndonesia,,4750000,6000000,3500000
208,Customer Service,Masseues / Masseur,,,0,PT First Value Indonesia,,6000000,10000000,2000000
209,Customer Service,Backend Developer,,,0,MadeIndonesia,,4000000,5000000,3000000
214,Customer Service,Email Marketing Coordinator,Y,,Customer Service,Basis,Jakarta,3812516.5,4411921,3213112
220,Customer Service,SALES FORCE,,,0,PT. AGRO BOGA UTAMA,Denpasar,2750000,3000000,2500000
233,Customer Service,Customer Service,Y,,Customer Service,PT. Sinar Jernih Suksesindo (SJS),Kupang,2850000,3000000,2700000
234,Customer Service,Customer Service,Y,,Customer Service,PT. Sinar Jernih Suksesindo,Banjarmasin,2950000,3000000,2900000
237,Customer Service,Call center Inbound Halo BCA BSD,,,0,Mitracomm,Jakarta,5750000,7500000,4000000
238,Customer Service,Business Development Officer,,,0,PT SAS Securitas,Jakarta,6000000,7000000,5000000
244,Customer Service,Customer Acquisition & Loyalty Lead,,,0,HWGZ Recruitment Services,Jakarta,19000000,23000000,15000000
247,Customer Service,SPV / Leader NOC,,,0,PT Kinarya Alihdaya Mandiri,Jakarta,8000000,9000000,7000000
263,Customer Service,Cleaning Service Mobile,,,0,CV Helo Klin Indonesia,Jakarta,3500000,4000000,3000000
293,Customer Service,Account Manager (FEMALE),,,0,PT Cibes Lift Indonesia,Jakarta,6500000,8000000,5000000
315,Customer Service,Customer Service - Contract 4 month,Y,,Customer Service,Gigel.ID,Jakarta,3400000,3400000,3400000
326,Customer Service,Customer Service,Y,,Customer Service,PT. Harmedi Jaya Abadi,Jakarta,3500000,4000000,3000000
327,Customer Service,Customer Service Officer (CSO)/Teller (Sidoarjo),Y,,Customer Service,BPR Surasari Hutama,Sidoarjo,4125000,4250000,4000000
340,Customer Service,Sales Canvasser - Meat N Fresh Bogor,,,0,PT KARUNIA SEGAR PERTAMA,Bogor,3500000,4000000,3000000
341,Customer Service,Staff Admin Tangerang,,,0,agenbajumurah,Tangerang,1900000,2000000,1800000
356,Customer Service,Business Development Manager,,,0,Fugazi,Jakarta,6500000,8000000,5000000
358,Customer Service,Account Manager,,,0,Dasa Aprilindo Sentosa,Jakarta,11000000,15000000,7000000
387,Customer Service,Barista - FOH,,,0,DHARMA COFFEE & JUICE CANGGU,Kuta,2550000,2700000,2400000
440,Customer Service,Customer Service Grab Banjarmasin,Y,,Customer Service,PT. Sinar Jernih Suksesindo (SJS),Banjarmasin,2950000,3000000,2900000
443,Customer Service,Customer Relationship Officer,Y,,Customer Service,PT. Infomedia,Jakarta,4500000,5000000,4000000
467,Customer Service,Call Center,Y,,Customer Service,PT.KHARISMA POTENSA INDONESIA,Jakarta,4600000,5000000,4200000
473,Customer Service,Pre-Sales Engineer,Y,,Customer Service,Hydroball Technics (SEA) Pte Ltd,Batam,2955575,2955575,2955575
474,Customer Service,CALL CENTER,Y,,Customer Service,PT. KHARISMA POTENSIA INDONESIA,Jakarta,4600000,5000000,4200000
487,Customer Service,Cashier/Kasir di Coffee Shop Surabaya Barat,,,0,Redback Coffee Indonesia,Surabaya,2600000,3000000,2200000
515,Back Office,Receptionist,,,0,PT. Binajasa Abadikarya (PT. BIJAK),Bekasi,5000000,6000000,4000000
519,Back Office,Backend Developer,Y,,Back Office,MadeIndonesia,,4000000,5000000,3000000
