ID,Weight_Ind,Region,Area_type,Household Number,Q203_1,Q207a,Q207b,Q301a_1,Q301a_2,Q301a_3,Q301a_4,Q301a_5,Q301a_6,Q301a_7,Q301a_8,Q303,Q304_1,Q401_1,Q503,Q505b,Q506,Q507,Q601a,Q601b_1,Q1201,Q1202,Q1208,Q1209_1,Q1213,Q1214,Age,Gender,Income,Marital,Banked/Unbanked,Credit,Saving,Remittances,Education,Income_Sources,Age2
1,1229.015015,Greater Accra,Urban,2,Broker /Representative from a financial institution,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,I walk,No,10 to 20 minutes,Yes,Bank,Yes,I received most of my income as money,None,I want to avoid bank charges,Below GH¢200 per month,GH¢201 - GH¢400 per month,50,Male,Yes,Married,Banked,Credit from family and friends,Saving at bank,Not remitting,Primary education,Formally employed Private,46+ yrs
2,1229.015015,Greater Accra,Urban,1,Broker /Representative from a financial institution,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,Between I to 2 hours,Yes,Bank,Yes,I received most of my income as money,None,To avoid making the trip to the bank,GH¢201 - GH¢400 per month,GH¢201 - GH¢400 per month,31,Male,Yes,Divorced,Banked,Credit from family and friends,Saving at bank,Remitting informally,Primary education,Farming and Fishing,31 - 35 yrs
3,1229.015015,Greater Accra,Urban,4,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,They come to me,,,Yes,Susu collector / group,Yes,I received most of my income as money,None,Takes too long for the money to go into my account,Below GH¢200 per month,Below GH¢200 per month,32,Female,Yes,Never married,Informal,Not borrowing,Saving informally,Not remitting,Secondary education,Self employed,31 - 35 yrs
4,1229.015015,Greater Accra,Urban,5,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,They come to me,,,Yes,At home/secret hiding place,DK,I received most of my income as money,None,I want to avoid bank charges,Below GH¢200 per month,Don't know,45,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Not remitting,No formal education,Self employed,41 - 45 yrs
5,1229.015015,Greater Accra,Urban,3,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,55,Male,Yes,Married,Banked,Not borrowing,Saving at bank,Not remitting,Primary education,Self employed,46+ yrs
6,1229.015015,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,They come to me,,,Yes,Savings and Loans Company,No,I received most of my income as money,None,I want to avoid bank charges,GH¢201 - GH¢400 per month,GH¢401 - GH¢600 per month,38,Female,Yes,Married,Banked,Credit from other formal (non-bank),Saving at bank,Remitting informally,Primary education,Self employed,36 - 40 yrs
7,1229.015015,Greater Accra,Urban,5,Television,No,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,Bank staff are discourteous or rude,None of these,,,,No,,No,I do not receive income,None,To avoid making the trip to the bank,No income,Don't know,20,Female,No,Never married,Excluded,Not borrowing,Not saving,Remiting through family and friends,Primary education,Remittance Dependent,18 - 20 yrs
8,1229.015015,Greater Accra,Urban,1,Friends/Colleagues,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Yes,I don't qualify for my own account,Bank staff are discourteous or rude,None of these,,,,Yes,Employer,DK,I do not receive income,None,I prefer getting the money in cash,No income,No income,18,Male,No,Never married,Banked,Credit from informal sources,Saving informally,Remiting through family and friends,Primary education,Remittance Dependent,18 - 20 yrs
9,1229.015015,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,Others Specify,Below GH¢200 per month,Below GH¢200 per month,60,Female,Yes,Widowed,Excluded,Not borrowing,Not saving,Remiting through family and friends,No formal education,Informally employed,46+ yrs
10,1229.015015,Greater Accra,Urban,2,Television,No,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,21 to 30 minutes,Yes,Bank,No,I do not receive income,Have no income,,No income,Don't know,24,Female,No,Not Answered/Missing data,Banked,Not borrowing,Saving at bank,Remitting through bank,Secondary education,Remittance Dependent,21 - 25 yrs
11,1229.015015,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,48,Female,Yes,Married,Informal,Credit from informal sources,Not saving,Not remitting,No formal education,Self employed,46+ yrs
12,1229.015015,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Used to but no longer have,Never had,Never had,Never had,Never had,Never had,No,,,None of these,,,,Yes,With a family / household member / friend,Yes,I received most of my income as money,None,I prefer getting the money in cash,GH¢401 - GH¢600 per month,GH¢401 - GH¢600 per month,29,Male,Yes,Never married,Other formal (non-bank),Credit from family and friends,Saving informally,Remitting through other formal (non-bank),Secondary education,Other Income,26 - 30 yrs
13,5861.456017,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,Banks offer low interest or returns,None of these,I walk,No,10 to 20 minutes,No,,No,I received most of my income as money,None,Others Specify,Below GH¢200 per month,GH¢201 - GH¢400 per month,50,Male,Yes,Married,Other formal (non-bank),Not borrowing,Saving at other formal (non-bank),Not remitting,Primary education,Formally employed Private,46+ yrs
14,5861.456017,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,38,Male,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,No formal education,Self employed,36 - 40 yrs
15,5861.456017,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,Yes,At home/secret hiding place,No,I do not receive income,Have no income,,No income,Don't know,23,Female,No,Married,Excluded,Not borrowing,Saving at home,Not remitting,Primary education,Remittance Dependent,21 - 25 yrs
16,5861.456017,Greater Accra,Urban,1,Radio,Yes,No,Never had,Never had,Used to but no longer have,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I do not receive income,Have no income,,No income,No income,80,Female,No,Widowed,Excluded,Not borrowing,Saving at home,Not remitting,Primary education,Remittance Dependent,46+ yrs
17,5861.456017,Greater Accra,Urban,4,Television,Yes,Yes,Have now,Never had,Have now,Never had,Never had,Never had,Never had,Have now,No,,,Bank,Trotro,No,10 to 20 minutes,Yes,Bank,No,I received most of my income as money,None,I prefer getting the money in cash,GH¢401 - GH¢600 per month,GH¢401 - GH¢600 per month,38,Female,Yes,Married,Banked,Credit from bank,Saving at bank,Not remitting,Other/Dont know,Self employed,36 - 40 yrs
18,5861.456017,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,21 to 30 minutes,Yes,Bank,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,21,Female,Yes,Never married,Banked,Not borrowing,Saving at bank,Not remitting,Secondary education,Self employed,21 - 25 yrs
19,5861.456017,Greater Accra,Urban,2,Television,Yes,Yes,Have now,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,,None of these,They come to me,,,Yes,Bank,No,I received most of my income as money,None,I prefer getting the money in cash,GH¢401 - GH¢600 per month,GH¢1001 - GH¢1200 per month,37,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Remitting through other formal (non-bank),Secondary education,Self employed,36 - 40 yrs
21,5861.456017,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,21 to 30 minutes,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,55,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Not remitting,Primary education,Self employed,46+ yrs
22,5861.456017,Greater Accra,Urban,1,Friends/Colleagues,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,Trotro,No,31 to 60 minutes,Yes,Bank,Yes,I received most of my income as money,None,Others Specify,Don't know,Don't know,42,Female,Yes,Never married,Banked,Credit from bank,Saving at bank,Not remitting,Primary education,Self employed,41 - 45 yrs
23,5861.456017,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,Taxi,No,Under 10 minutes,Yes,Bank,Yes,I received most of my income as money,All,,Below GH¢200 per month,Below GH¢200 per month,30,Male,Yes,Never married,Banked,Not borrowing,Saving at bank,Not remitting,Vocational/Specialised training,Formally employed Private,26 - 30 yrs
24,5861.456017,Greater Accra,Urban,2,Friends/Colleagues,Yes,Yes,Have now,Have now,Not answered/Missing data,Never had,Never had,Never had,Never had,Have now,No,,,ATM,Taxi,No,Under 10 minutes,Yes,Bank,Yes,I received most of my income as money,All,,GH¢201 - GH¢400 per month,GH¢401 - GH¢600 per month,42,Male,Yes,Married,Banked,Credit from other formal (non-bank),Saving at bank,Remitting informally,Secondary education,Formally employed Private,41 - 45 yrs
25,7315.097145,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Have now,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,Trotro,Yes,31 to 60 minutes,Yes,Bank,No,I received most of my income as money,Some,,GH¢201 - GH¢400 per month,GH¢201 - GH¢400 per month,61,Female,Yes,Widowed,Banked,Not borrowing,Saving at bank,Remitting through other formal (non-bank),Secondary education,Remittance Dependent,46+ yrs
26,7315.097145,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,GH¢201 - GH¢400 per month,GH¢201 - GH¢400 per month,27,Male,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Formally employed Private,26 - 30 yrs
27,7315.097145,Greater Accra,Urban,1,Can't remember/ Don't know,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Don't know,Don't know,67,Female,Yes,Widowed,Excluded,Not borrowing,Not saving,Not remitting,No formal education,Self employed,46+ yrs
28,7315.097145,Greater Accra,Urban,5,Television,No,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Have now,No,,,ATM,Trotro,Yes,10 to 20 minutes,Yes,Bank,No,I do not receive income,Have no income,,Don't know,Refused to answer,25,Female,No,Never married,Banked,Not borrowing,Saving at bank,Remitting through bank,Tertiary education,Remittance Dependent,21 - 25 yrs
29,7315.097145,Greater Accra,Urban,2,Television,Yes,No,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,Yes,Susu collector / group,No,I received most of my income as money,Some,,Below GH¢200 per month,Don't know,26,Female,Yes,Married,Other formal (non-bank),Not borrowing,Saving at other formal (non-bank),Not remitting,Secondary education,Self employed,26 - 30 yrs
30,7315.097145,Greater Accra,Urban,2,Television,Yes,No,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I do not receive income,Have no income,,No income,No income,28,Female,No,Never married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Remittance Dependent,26 - 30 yrs
31,7315.097145,Greater Accra,Urban,4,Can't remember/ Don't know,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,21 to 30 minutes,No,,Yes,I received most of my income as money,All,,GH¢201 - GH¢400 per month,GH¢401 - GH¢600 per month,76,Male,Yes,Never married,Banked,Not borrowing,Saving at bank,Not remitting,Primary education,Other Income,46+ yrs
32,7315.097145,Greater Accra,Urban,1,Television,Yes,Yes,Have now,Never had,Used to but no longer have,Never had,Never had,Never had,Never had,Used to but no longer have,No,,,None of these,Trotro,No,10 to 20 minutes,Yes,Bank,Yes,I received most of my income as money,Some,,Refused to answer,Refused to answer,41,Male,Yes,Separated,Banked,Not borrowing,Saving at bank,Not remitting,No formal education,Self employed,41 - 45 yrs
