ID,Weight_Ind,Region,Area_type,Household Number,Q203_1,Q207a,Q207b,Q301a_1,Q301a_2,Q301a_3,Q301a_4,Q301a_5,Q301a_6,Q301a_7,Q301a_8,Q303,Q304_1,Q401_1,Q503,Q505b,Q506,Q507,Q601a,Q601b_1,Q1201,Q1202,Q1208,Q1209_1,Q1213,Q1214,Age,Gender,Income,Marital,Banked/Unbanked,Credit,Saving,Remittances,Education,Income_Sources
1,1229.015015,Greater Accra,Urban,2,Broker /Representative from a financial institution,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,I walk,No,10 to 20 minutes,Yes,Bank,Yes,I received most of my income as money,None,I want to avoid bank charges,Below GH¢200 per month,GH¢201 - GH¢400 per month,50,Male,Yes,Married,Banked,Credit from family and friends,Saving at bank,Not remitting,Primary education,Formally employed Private
2,1229.015015,Greater Accra,Urban,1,Broker /Representative from a financial institution,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,Between I to 2 hours,Yes,Bank,Yes,I received most of my income as money,None,To avoid making the trip to the bank,GH¢201 - GH¢400 per month,GH¢201 - GH¢400 per month,31,Male,Yes,Divorced,Banked,Credit from family and friends,Saving at bank,Remitting informally,Primary education,Farming and Fishing
3,1229.015015,Greater Accra,Urban,4,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,They come to me,,,Yes,Susu collector / group,Yes,I received most of my income as money,None,Takes too long for the money to go into my account,Below GH¢200 per month,Below GH¢200 per month,32,Female,Yes,Never married,Informal,Not borrowing,Saving informally,Not remitting,Secondary education,Self employed
4,1229.015015,Greater Accra,Urban,5,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,They come to me,,,Yes,At home/secret hiding place,DK,I received most of my income as money,None,I want to avoid bank charges,Below GH¢200 per month,Don't know,45,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Not remitting,No formal education,Self employed
5,1229.015015,Greater Accra,Urban,3,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,55,Male,Yes,Married,Banked,Not borrowing,Saving at bank,Not remitting,Primary education,Self employed
6,1229.015015,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,They come to me,,,Yes,Savings and Loans Company,No,I received most of my income as money,None,I want to avoid bank charges,GH¢201 - GH¢400 per month,GH¢401 - GH¢600 per month,38,Female,Yes,Married,Banked,Credit from other formal (non-bank),Saving at bank,Remitting informally,Primary education,Self employed
7,1229.015015,Greater Accra,Urban,5,Television,No,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,Bank staff are discourteous or rude,None of these,,,,No,,No,I do not receive income,None,To avoid making the trip to the bank,No income,Don't know,20,Female,No,Never married,Excluded,Not borrowing,Not saving,Remiting through family and friends,Primary education,Remittance Dependent
8,1229.015015,Greater Accra,Urban,1,Friends/Colleagues,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Yes,I don't qualify for my own account,Bank staff are discourteous or rude,None of these,,,,Yes,Employer,DK,I do not receive income,None,I prefer getting the money in cash,No income,No income,18,Male,No,Never married,Banked,Credit from informal sources,Saving informally,Remiting through family and friends,Primary education,Remittance Dependent
9,1229.015015,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,Others Specify,Below GH¢200 per month,Below GH¢200 per month,60,Female,Yes,Widowed,Excluded,Not borrowing,Not saving,Remiting through family and friends,No formal education,Informally employed
10,1229.015015,Greater Accra,Urban,2,Television,No,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,21 to 30 minutes,Yes,Bank,No,I do not receive income,Have no income,,No income,Don't know,24,Female,No,Not Answered/Missing data,Banked,Not borrowing,Saving at bank,Remitting through bank,Secondary education,Remittance Dependent
11,1229.015015,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,48,Female,Yes,Married,Informal,Credit from informal sources,Not saving,Not remitting,No formal education,Self employed
12,1229.015015,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Used to but no longer have,Never had,Never had,Never had,Never had,Never had,No,,,None of these,,,,Yes,With a family / household member / friend,Yes,I received most of my income as money,None,I prefer getting the money in cash,GH¢401 - GH¢600 per month,GH¢401 - GH¢600 per month,29,Male,Yes,Never married,Other formal (non-bank),Credit from family and friends,Saving informally,Remitting through other formal (non-bank),Secondary education,Other Income
13,5861.456017,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,Banks offer low interest or returns,None of these,I walk,No,10 to 20 minutes,No,,No,I received most of my income as money,None,Others Specify,Below GH¢200 per month,GH¢201 - GH¢400 per month,50,Male,Yes,Married,Other formal (non-bank),Not borrowing,Saving at other formal (non-bank),Not remitting,Primary education,Formally employed Private
14,5861.456017,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,38,Male,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,No formal education,Self employed
15,5861.456017,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,Yes,At home/secret hiding place,No,I do not receive income,Have no income,,No income,Don't know,23,Female,No,Married,Excluded,Not borrowing,Saving at home,Not remitting,Primary education,Remittance Dependent
