CIF_NO,CODE_GENDER,NAME_EDUCATION_TYPE,FLAG_OWN_REALTY,NAME_HOUSING_TYPE,ORGANIZATION_TYPE,CNT_CHILDREN,OCCUPATION_TYPE,AMT_INCOME_TOTAL,DAYS_EMPLOYED,CREDIT_LIMIT
73122693,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,202500,-637,0
73152323,F,Higher education,N,House / apartment,School,0,Core staff,270000,-1188,20000000
73171319,M,Secondary / secondary special,Y,House / apartment,Government,0,Laborers,67500,-225,4000000
73266627,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,135000,-3039,60000000
73266639,M,Secondary / secondary special,Y,House / apartment,Religion,0,Core staff,121500,-3038,5000000
74207763,M,Secondary / secondary special,Y,House / apartment,Other,0,Laborers,99000,-1588,0
73005939,F,Higher education,Y,House / apartment,Business Entity Type 3,1,Accountants,171000,-3130,1000000
73005941,M,Higher education,Y,House / apartment,Other,0,Managers,360000,-449,60000000
73005954,F,Secondary / secondary special,Y,House / apartment,XNA,0,,112500,365243,30000000
73005960,M,Secondary / secondary special,Y,House / apartment,Electricity,0,Laborers,135000,-2019,0
73005963,F,Higher education,Y,House / apartment,Medicine,1,Core staff,112500,-679,80000000
73016773,F,Secondary / secondary special,Y,House / apartment,XNA,0,,38419.155,365243,50000000
73016788,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,0,Laborers,67500,-2717,30000000
73016800,M,Secondary / secondary special,N,House / apartment,Self-employed,1,Drivers,225000,-3028,0
73023281,F,Secondary / secondary special,Y,House / apartment,Transport: type 2,0,Laborers,189000,-203,80000000
73023299,M,Secondary / secondary special,Y,Rented apartment,Business Entity Type 2,0,Laborers,157500,-1157,30000000
73037444,M,Secondary / secondary special,N,House / apartment,Government,0,Drivers,108000,-1317,30000000
73037473,F,Secondary / secondary special,Y,House / apartment,Construction,1,Laborers,81000,-191,30000000
73023366,F,Secondary / secondary special,Y,House / apartment,Housing,0,Laborers,112500,-7804,0
73103002,F,Higher education,Y,House / apartment,Kindergarten,1,Core staff,90000,-2038,30000000
73103005,M,Secondary / secondary special,Y,House / apartment,Self-employed,0,Laborers,135000,-4286,0
73103008,F,Secondary / secondary special,Y,House / apartment,Trade: type 7,1,Sales staff,202500,-1652,4000000
73103017,F,Secondary / secondary special,N,Rented apartment,Self-employed,1,Sales staff,450000,-4306,30000000
81779681,F,Secondary / secondary special,Y,House / apartment,XNA,0,,83250,365243,50000000
81779398,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,2,Drivers,135000,-746,20000000
77641669,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Cleaning staff,90000,-3494,0
81833691,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Cooking staff,112500,-2628,30000000
81847980,M,Secondary / secondary special,Y,House / apartment,Industry: type 11,1,Laborers,112500,-1234,30000000
73235696,M,Higher education,Y,House / apartment,Military,0,,270000,-1796,0
81953417,M,Higher education,Y,With parents,Business Entity Type 3,0,Laborers,90000,-1010,4000000
81963314,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,292500,-2668,0
82074941,F,Secondary / secondary special,Y,House / apartment,Services,0,Private service staff,112500,-1104,0
82160401,F,Secondary / secondary special,N,House / apartment,Business Entity Type 2,0,Laborers,90000,-4404,80000000
82200350,M,Secondary / secondary special,N,House / apartment,Self-employed,1,Drivers,360000,-2060,30000000
82201973,F,Higher education,Y,House / apartment,Security Ministries,0,Core staff,135000,-4585,50000000
82208436,F,Higher education,N,House / apartment,Self-employed,0,Sales staff,112500,-1275,0
82228620,F,Secondary / secondary special,Y,House / apartment,Other,2,Private service staff,198000,-768,5000000
82296171,M,Secondary / secondary special,Y,House / apartment,Transport: type 4,0,Drivers,121500,-1288,60000000
81849798,F,Secondary / secondary special,Y,House / apartment,XNA,0,,99000,365243,3000000
82354121,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,180000,-1761,0
82357914,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,202500,-1262,0
73678180,F,Secondary / secondary special,Y,House / apartment,Industry: type 1,0,Laborers,202500,-475,20000000
74463080,F,Secondary / secondary special,N,House / apartment,Self-employed,0,Sales staff,135000,-3597,20000000
73076840,F,Higher education,Y,House / apartment,XNA,0,,108000,365243,0
74198836,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,202500,-758,0
73264746,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Sales staff,90000,-895,4000000
74331707,F,Secondary / secondary special,Y,House / apartment,XNA,0,,202500,365243,0
73103028,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Medicine staff,99000,-5332,4000000
73171854,F,Secondary / secondary special,N,House / apartment,Government,0,Managers,130500,-4411,30000000
73171832,M,Secondary / secondary special,Y,House / apartment,Transport: type 2,0,Laborers,360000,-9523,30000000
73171377,F,Higher education,Y,House / apartment,School,0,Core staff,54000,-1176,0
